dataset,sample,link
DPMP-214,VS4005f_234x234x19x8bit.raw,https://web.corral.tacc.utexas.edu/digitalporousmedia/DRP-214/Two%20vugs%20in%20series%20(VS)/Flow%20rate%20%3D%2040%20ml/min%20%7C%20Total%20injection%20concentration%20%3D%200.5%25%20(VS4005)/VS4005f_234x234x19x8bit.raw
DPMP-211,Project211_sandstone_slice_0801hr.png,https://web.corral.tacc.utexas.edu/digitalporousmedia/DRP-211/Sandstone%20Example%20Images/Sandstone%20Example%20Images/0801.png
DPMP-211,Project211_sandstone_slice_0801lr.png,https://www.digitalrocksportal.org/projects/211/images/126113/download/
DPMP-58,ES32_0135.tif,https://www.digitalrocksportal.org/projects/58/images/68987/download/
MATLAB_Examples,rice_uneven_illumination,https://www.mathworks.com/help/examples/images/win64/NonuniformIlluminationExample_01.png
DPMP-44,CQ_0_A_xy350_z450_16int.raw,https://web.corral.tacc.utexas.edu/digitalporousmedia/DRP-44/Uniform%20Quartz/Uniform%20Quartz%20-%20preinjection%20(0%20PV)/CQ_0_A_xy350_z450_16int.raw
DPMP-125,Ketton_rock_trapped_oil_Original_SSb.raw,https://web.corral.tacc.utexas.edu/digitalporousmedia/DRP-125/Trapped%20oil%20in%20a%20Ketton%20limestone%20sample%20-%20Subset%20SSb/Ketton_rock_trapped_oil_Original_SSb/Ketton_rock_trapped_oil_Original_SSb.raw
DPMP-125,Ketton_rock_trapped_oil_Filtered_SSb.raw,https://web.corral.tacc.utexas.edu/digitalporousmedia/DRP-125/Trapped%20oil%20in%20a%20Ketton%20limestone%20sample%20-%20Subset%20SSb/Ketton_rock_trapped_oil_Original_SSb/Ketton_rock_trapped_oil_Filtered_SSb/Ketton_rock_trapped_oil_Filtered_SSb.raw
Local,beads_dry.slice150.sub.binary.png,C:\Users\bcc2459\Box\Petrobras2022_2024_DigitalRockPhysics\Lectures\Lecture3_4_5_Data\Filtering_Segmentation\DataBeads3D
DPMP-16,beadpack.tif,
DPMP-16,mtgambier.tif,
DPMP-16,castlegate.tif,
DPMP-16,sandpack.tif,
DRP Course,MD_01.tif,interpore_workshop
DRP Course,MD_02.tif,interpore_workshop
DRP Course,MD_05.tif,interpore_workshop
DRP Course,MD_07.tif,interpore_workshop
DRP Course,MD_09.tif,interpore_workshop
DRP Course,MD_10.tif,interpore_workshop
DRP Course,MD_11.tif,interpore_workshop
DRP Course,MD_12.tif,interpore_workshop
DPMP-175,vx_rsz_100.npy,https://web.corral.tacc.utexas.edu/digitalporousmedia/DRP-175/Random%20Sphere%20Packing/Random%20Sphere%20Packing%20Microstructure/Velocity%20in%20x%20(Image%20Format)/VX.raw
DPMP-175,vy_rsz_100.npy,https://web.corral.tacc.utexas.edu/digitalporousmedia/DRP-175/Random%20Sphere%20Packing/Random%20Sphere%20Packing%20Microstructure/Velocity%20in%20y%20(Image%20Format)/VY.raw
DPMP-175,vz_rsz_100.npy,https://web.corral.tacc.utexas.edu/digitalporousmedia/DRP-175/Random%20Sphere%20Packing/Random%20Sphere%20Packing%20Microstructure/Velocity%20in%20z%20(Image%20Format)/VZ.raw
DRP Course,Berea200.txt,
DRP Course,Berea500.txt,
DRP Course,results.100s.Mono.txt,
DPMP-47,spheres_a10_dx0.04_n500_segmented_unsigned_char.raw,
